150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444762.76,2019-11-23T21:32:15.178Z,66758066.32
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444762.76,2019-11-23T21:32:15.178Z,66758066.32
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444762.76,2019-11-23T21:32:15.178Z,66758066.32
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444762.76,2019-11-23T21:32:15.178Z,66758066.32
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444762.76,2019-11-23T21:32:15.178Z,66758066.32
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444762.76,2019-11-23T21:32:15.178Z,66758066.32
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.28,150.27,ETH-USDT,ETH-USDT,150.27,150.28,150.27,152.77,154.26,146.11,444717.78,2019-11-23T21:32:38.330Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
